iter	Passed	Remaining
185	524	2296
186	569	2474
187	570	2466
188	574	2464
189	576	2455
190	577	2447
191	579	2438
192	581	2430
193	583	2422
194	584	2414
195	588	2414
196	590	2406
197	592	2398
198	593	2390
199	595	2382
200	597	2376
201	625	2472
202	627	2464
203	629	2458
204	632	2451
205	635	2447
206	637	2442
207	639	2435
208	641	2427
209	643	2421
210	645	2414
211	647	2407
212	649	2401
213	651	2394
214	653	2386
215	655	2378
216	657	2371
217	658	2363
218	660	2355
219	662	2347
220	686	2420
221	692	2427
222	694	2419
223	699	2421
224	701	2417
225	703	2409
226	708	2411
227	709	2403
228	711	2395
229	713	2388
230	715	2380
231	718	2377
232	720	2370
233	722	2364
234	752	2448
235	754	2444
236	756	2436
237	758	2429
238	760	2421
239	762	2413
240	763	2405
241	765	2398
242	767	2391
243	770	2386
244	771	2378
245	773	2371
246	775	2364
247	777	2356
248	778	2349
249	780	2341
250	793	2367
251	795	2360
252	800	2362
253	801	2354
254	803	2346
255	804	2338
256	806	2331
257	808	2324
258	809	2316
259	829	2361
260	831	2355
261	833	2348
262	840	2354
263	844	2354
264	846	2347
265	848	2341
266	850	2334
267	852	2327
268	854	2323
269	856	2316
270	860	2314
271	862	2307
272	870	2318
273	872	2311
274	875	2307
275	877	2302
276	893	2332
277	895	2326
278	897	2318
279	898	2311
280	908	2323
281	909	2316
282	912	2311
283	914	2305
284	916	2298
285	917	2291
286	919	2284
287	922	2279
288	923	2272
289	925	2265
290	926	2258
291	928	2251
292	930	2244
293	932	2239
294	934	2232
295	936	2226
296	937	2219
297	939	2213
298	941	2207
299	943	2201
300	945	2194
301	946	2187
302	947	2180
303	950	2176
304	952	2170
305	955	2167
306	957	2161
307	959	2155
308	961	2149
309	962	2142
310	965	2138
311	966	2132
312	968	2125
313	969	2118
314	971	2111
315	972	2105
316	974	2099
317	975	2092
318	977	2086
319	979	2082
320	981	2076
321	983	2069
322	984	2063
323	986	2057
324	987	2050
325	988	2044
326	990	2038
327	992	2032
328	994	2027
329	995	2021
330	996	2014
331	998	2009
332	1000	2003
333	1001	1997
334	1003	1991
335	1004	1985
336	1006	1979
337	1007	1973
338	1009	1968
339	1011	1963
340	1012	1957
341	1014	1951
342	1015	1945
343	1016	1939
344	1018	1934
345	1020	1929
346	1022	1924
347	1025	1920
348	1026	1915
349	1028	1910
350	1029	1904
351	1031	1898
352	1033	1893
353	1034	1887
354	1036	1882
355	1038	1879
356	1040	1874
357	1042	1869
358	1044	1864
359	1046	1859
360	1047	1854
361	1049	1850
362	1051	1845
363	1054	1842
364	1056	1838
365	1058	1833
366	1060	1828
367	1061	1823
368	1063	1818
369	1064	1813
370	1066	1808
371	1069	1805
372	1071	1800
373	1072	1795
374	1074	1790
375	1075	1785
376	1078	1781
377	1095	1802
378	1097	1798
379	1101	1797
380	1103	1792
381	1104	1787
382	1106	1782
383	1107	1777
384	1111	1775
385	1113	1770
386	1114	1766
387	1116	1760
388	1117	1755
389	1119	1750
390	1121	1746
391	1122	1741
392	1125	1738
393	1127	1733
394	1128	1728
395	1129	1723
396	1131	1719
397	1133	1714
398	1135	1710
399	1136	1705
400	1138	1700
401	1141	1698
402	1144	1695
403	1146	1691
404	1148	1686
405	1149	1682
406	1151	1677
407	1152	1672
408	1155	1669
409	1156	1664
410	1158	1660
411	1160	1655
412	1162	1651
413	1163	1647
414	1165	1642
415	1167	1638
416	1169	1635
417	1171	1631
418	1173	1627
419	1175	1623
420	1176	1618
421	1178	1614
422	1180	1609
423	1181	1605
424	1183	1600
425	1185	1597
426	1187	1593
427	1189	1589
428	1190	1584
429	1192	1580
430	1193	1575
431	1194	1571
432	1196	1566
433	1198	1562
434	1200	1559
435	1201	1554
436	1203	1550
437	1205	1546
438	1206	1541
439	1208	1538
