iter	Passed	Remaining
446	1127	1394
447	1129	1392
448	1132	1389
449	1134	1386
450	1136	1383
451	1137	1379
452	1139	1375
453	1140	1372
454	1143	1369
455	1145	1366
456	1147	1363
457	1149	1360
458	1150	1356
459	1152	1352
460	1154	1349
461	1156	1347
462	1158	1344
463	1160	1341
464	1162	1337
465	1164	1333
466	1165	1330
467	1167	1326
468	1169	1324
469	1172	1321
470	1173	1318
471	1175	1314
472	1176	1311
473	1178	1307
474	1180	1304
475	1182	1301
476	1184	1299
477	1187	1296
478	1190	1294
479	1192	1291
480	1193	1288
481	1196	1286
482	1199	1283
483	1200	1280
484	1202	1277
485	1204	1273
486	1205	1270
487	1207	1266
488	1210	1265
489	1213	1262
490	1215	1259
491	1216	1256
492	1218	1252
493	1220	1249
494	1221	1246
495	1224	1243
496	1225	1240
497	1227	1237
498	1229	1234
499	1230	1230
500	1232	1227
501	1234	1224
502	1236	1221
503	1239	1219
504	1240	1216
505	1242	1212
506	1243	1209
507	1245	1206
508	1247	1202
509	1249	1200
510	1251	1198
511	1253	1194
512	1255	1191
513	1256	1188
514	1258	1185
515	1260	1181
516	1263	1179
517	1264	1176
518	1266	1173
519	1268	1170
520	1269	1167
521	1271	1164
522	1273	1161
523	1275	1158
524	1277	1155
525	1279	1152
526	1280	1149
527	1282	1146
528	1284	1143
529	1286	1140
530	1291	1140
531	1293	1137
532	1294	1134
533	1296	1131
534	1298	1128
535	1300	1125
536	1303	1123
537	1304	1120
538	1306	1117
539	1307	1114
540	1309	1110
541	1311	1107
542	1314	1105
543	1317	1103
544	1319	1101
545	1320	1097
546	1321	1094
547	1323	1091
548	1325	1088
549	1327	1086
550	1331	1084
551	1332	1081
552	1334	1078
553	1335	1075
554	1337	1072
555	1338	1069
556	1341	1067
557	1343	1063
558	1344	1060
559	1346	1057
560	1347	1054
561	1349	1051
562	1350	1048
563	1355	1047
564	1356	1044
565	1358	1041
566	1359	1038
567	1361	1035
568	1362	1032
569	1364	1029
570	1367	1027
571	1369	1024
572	1371	1021
573	1372	1018
574	1374	1015
575	1375	1012
576	1377	1009
577	1380	1007
578	1382	1005
579	1384	1002
580	1385	999
581	1386	996
582	1388	993
583	1390	990
584	1392	987
585	1395	985
586	1397	983
587	1398	980
588	1400	976
589	1401	974
590	1403	971
591	1406	969
592	1408	966
593	1410	963
594	1411	960
595	1413	957
596	1414	955
597	1416	952
598	1419	950
599	1421	947
600	1422	944
601	1424	941
602	1425	938
603	1427	935
604	1429	933
605	1431	930
606	1434	928
607	1436	926
608	1438	923
609	1439	920
610	1441	917
611	1444	915
612	1447	913
613	1448	910
614	1450	908
615	1452	905
616	1454	902
617	1456	900
618	1460	898
619	1461	895
620	1463	893
621	1465	890
622	1466	887
623	1468	884
624	1471	882
625	1473	880
626	1474	877
627	1476	874
628	1478	872
629	1479	869
630	1481	866
631	1485	865
632	1487	862
633	1488	859
634	1491	857
635	1492	854
636	1493	851
637	1495	848
638	1498	846
639	1499	843
640	1502	841
641	1504	839
642	1507	836
643	1509	834
644	1512	832
645	1514	829
646	1515	827
647	1517	824
648	1518	821
649	1520	818
650	1522	816
651	1525	814
652	1527	811
653	1528	808
654	1530	806
655	1531	803
656	1533	800
657	1535	798
658	1538	796
659	1540	793
660	1542	791
661	1543	788
662	1545	785
663	1547	782
664	1550	780
665	1552	778
666	1554	776
667	1556	773
668	1557	770
669	1559	767
670	1560	765
671	1563	762
672	1565	760
673	1567	758
674	1569	755
675	1570	752
676	1572	750
677	1574	747
678	1577	745
679	1579	743
680	1581	740
681	1582	738
682	1584	735
683	1585	732
684	1587	730
685	1590	727
686	1592	725
687	1593	722
688	1595	720
689	1596	717
690	1598	714
691	1600	712
692	1602	710
693	1605	707
694	1607	705
695	1608	702
696	1609	699
697	1611	697
698	1613	694
699	1617	693
700	1619	690
701	1621	688
702	1622	685
703	1623	682
704	1625	680
705	1627	677
706	1629	675
707	1631	672
708	1633	670
709	1634	667
710	1635	664
711	1637	662
712	1639	659
713	1641	657
714	1643	655
715	1645	652
716	1647	650
717	1648	647
718	1650	644
719	1652	642
720	1655	640
721	1657	638
722	1659	635
723	1660	633
724	1662	630
725	1663	627
726	1666	625
727	1669	623
728	1671	621
729	1672	618
730	1674	616
731	1675	613
732	1677	611
733	1681	609
734	1683	607
735	1685	604
736	1687	602
737	1689	599
738	1690	597
739	1693	594
740	1696	593
741	1698	590
742	1700	588
743	1702	585
744	1704	583
745	1706	580
746	1710	579
747	1712	576
748	1714	574
749	1716	572
750	1717	569
751	1719	567
752	1723	565
753	1725	562
754	1726	560
755	1728	557
756	1730	555
757	1732	553
758	1737	551
759	1739	549
760	1741	546
761	1743	544
762	1745	542
763	1747	539
764	1751	537
765	1752	535
766	1754	533
767	1756	530
768	1758	528
769	1760	525
770	1763	523
771	1765	521
772	1766	518
773	1768	516
774	1770	513
775	1771	511
776	1774	509
777	1777	507
778	1779	504
779	1781	502
780	1782	499
781	1784	497
782	1785	494
783	1788	492
784	1791	490
785	1792	488
